Classifier,AdaBoost,AdaBoost,AdaBoost,AdaBoost,AdaBoost,AdaBoost,AdaBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,AdaFair,AdaFair,AdaFair,AdaFair,AdaFair,AdaFair,AdaFair,AdaptiveWeights,AdaptiveWeights,AdaptiveWeights,AdaptiveWeights,AdaptiveWeights,AdaptiveWeights,AdaptiveWeights
Score,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.
0,0.8543863139049135,0.7907727534348576,0.12807434128444645,0.6179775280898876,0.6717391304347826,0.963627885287946,0.8893151463483945,0.8401299648564419,0.7289213744237688,0.15104251949793637,0.4232209737827715,0.5214285714285715,0.9832128701328982,0.9303779482807616,0.8234865061998541,0.6970041996109362,0.14573790832339253,0.37265917602996257,0.45714285714285713,0.9869433434366985,0.9256891162262006,0.8234865061998541,0.6970041996109362,0.14573790832339253,0.37265917602996257,0.45714285714285713,0.9869433434366985,0.9256891162262006
1,0.8589616073204694,0.7916813984097196,0.1426618560213717,0.5951557093425606,0.6690806045340051,0.9678155672220954,0.8990786063921682,0.8468934420794377,0.7511446311539196,0.18212006210508785,0.46366782006920415,0.5780856423173804,0.9833371376398082,0.9156348977828966,0.8235528148000796,0.7052408451261358,0.14363141142814256,0.40484429065743943,0.48142317380352645,0.9819675873088336,0.914915059026778,0.8235528148000796,0.7052408451261358,0.14363141142814256,0.40484429065743943,0.48142317380352645,0.9819675873088336,0.914915059026778
2,0.8566408063125788,0.78764304685167,0.1551853039135137,0.5747747747747748,0.6633322913410441,0.966039467645709,0.8994116802984646,0.8403951992573436,0.7237550068132499,0.16911147028715198,0.3945945945945946,0.5082838386995936,0.9901330885727397,0.9347108623905869,0.8245474438034613,0.6970871340132927,0.1510780300304369,0.3675675675675676,0.4563926226945921,0.9892152363469482,0.9269622614435357,0.8245474438034613,0.6970871340132927,0.1510780300304369,0.3675675675675676,0.4563926226945921,0.9892152363469482,0.9269622614435357
3,0.8588289901200186,0.7956893653802619,0.1449688772465293,0.6086175942549371,0.6806380982170785,0.9666048237476809,0.8936564504632929,0.8498773290895829,0.7484114410859546,0.15037547493635542,0.45960502692998206,0.5614638723803566,0.9805194805194806,0.9320028510334997,0.8235528148000796,0.696959292977929,0.1356983200809665,0.3770197486535009,0.45667813575226773,0.9837662337662337,0.9277263007840342,0.8235528148000796,0.696959292977929,0.1356983200809665,0.3770197486535009,0.45667813575226773,0.9837662337662337,0.9277263007840342
4,0.8576354353159604,0.787948985782694,0.14259129708747037,0.5879017013232514,0.6592248062015504,0.970710332103321,0.8994421398941497,0.84059412505802,0.7273603427230959,0.1698720945163015,0.4045368620037807,0.517829457364341,0.9877767527675276,0.9311972536117866,0.8252768384059412,0.6993536784329493,0.156631691921361,0.3648393194706994,0.46232558139534885,0.9866236162361623,0.9274781862394508,0.8252768384059412,0.6993536784329493,0.156631691921361,0.3648393194706994,0.46232558139534885,0.9866236162361623,0.9274781862394508
5,0.8586300643193422,0.7912825889399443,0.16458453248495816,0.5763293310463122,0.6720277514979501,0.9679280110752192,0.899041899041899,0.8393342616537365,0.7371184635332506,0.15467369611310555,0.4528301886792453,0.5484074424471775,0.9771573604060914,0.918060918060918,0.8220277169948942,0.7043146208330372,0.12796999507471662,0.4219554030874786,0.47871333964049195,0.9826949700046147,0.9114829114829115,0.8220277169948942,0.7043146208330372,0.12796999507471662,0.4219554030874786,0.47871333964049195,0.9826949700046147,0.9114829114829115
6,0.8577017439161859,0.7957403865587427,0.1367378154951611,0.6204379562043796,0.6812227074235808,0.9656271340769406,0.8896740698009806,0.8409919766593728,0.7269128050293924,0.16180936374022756,0.40875912408759124,0.5152838427947598,0.9879353516958798,0.9326507066628209,0.8234865061998541,0.697894689089238,0.1353677327957813,0.38503649635036497,0.4585152838427948,0.985886637832916,0.9239976925295644,0.8234865061998541,0.697894689089238,0.1353677327957813,0.38503649635036497,0.4585152838427948,0.985886637832916,0.9239976925295644
7,0.857569126715735,0.7911106055897575,0.15114298027724296,0.5939716312056738,0.6702194357366771,0.9700724807107786,0.895177304964539,0.841920297062529,0.7289555806021971,0.1523941966568526,0.4166666666666667,0.519435736677116,0.9848024316109423,0.935177304964539,0.824945295404814,0.6971738900065703,0.1433233384370582,0.36879432624113473,0.45579937304075235,0.9866729015665185,0.930354609929078,0.824945295404814,0.6971738900065703,0.1433233384370582,0.36879432624113473,0.45579937304075235,0.9866729015665185,0.930354609929078
8,0.8625422717326438,0.7971817965842174,0.1698452441656257,0.582089552238806,0.6811684275947794,0.9709811146936895,0.9002147458840373,0.8500762548902593,0.7510372385696686,0.2236261579053674,0.4141791044776119,0.5770665009322561,0.9857208659603869,0.9249821045096636,0.8266030104104503,0.7026408463208239,0.1685140431763831,0.36007462686567165,0.47172156619018024,0.9845693228926762,0.9277022190408017,0.8266030104104503,0.7026408463208239,0.1685140431763831,0.36007462686567165,0.47172156619018024,0.9845693228926762,0.9277022190408017
9,0.8588952987202441,0.7927058434688588,0.15251353530935002,0.6006944444444444,0.6718061674008811,0.9748151571164511,0.8934133447635376,0.8366156090444931,0.7196360138073963,0.12430311208830086,0.4236111111111111,0.49811202013845185,0.9833641404805915,0.9335619374196313,0.8218287911942179,0.6924277327749844,0.11133690085029649,0.3923611111111111,0.4424166142227816,0.987985212569316,0.9267038148306901,0.8218287911942179,0.6924277327749844,0.11133690085029649,0.3923611111111111,0.4424166142227816,0.987985212569316,0.9267038148306901
