Classifier,AdaBoost,AdaBoost,AdaBoost,AdaBoost,AdaBoost,AdaBoost,AdaBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,AdaFair,AdaFair,AdaFair,AdaFair,AdaFair,AdaFair,AdaFair,AdaptiveWeights,AdaptiveWeights,AdaptiveWeights,AdaptiveWeights,AdaptiveWeights,AdaptiveWeights,AdaptiveWeights
Score,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.
0,0.6617886178861788,0.659721212955668,0.4045203404578863,0.6630883567299752,0.4439461883408072,0.6488609583660644,0.8342391304347826,0.6627642276422764,0.665297463787516,0.4620077246198496,0.7415359207266722,0.49327354260089684,0.579732914375491,0.7934782608695652,0.6396747967479675,0.6464792108087986,0.21311735689004807,0.772914946325351,0.6098654708520179,0.5341712490180676,0.5842391304347826,0.6396747967479675,0.6464792108087986,0.21311735689004807,0.772914946325351,0.6098654708520179,0.5341712490180676,0.5842391304347826
1,0.6588617886178861,0.6552134181843836,0.5178776119239146,0.6454545454545455,0.3632286995515695,0.650767987065481,0.8864197530864197,0.6673170731707317,0.6671720528723928,0.39905883830082917,0.6950413223140496,0.5022421524663677,0.618431689571544,0.8246913580246914,0.6442276422764228,0.6506150057841398,0.2074040489788539,0.7628099173553718,0.6457399103139013,0.534357316087308,0.6246913580246913,0.6442276422764228,0.6506150057841398,0.2074040489788539,0.7628099173553718,0.6457399103139013,0.534357316087308,0.6246913580246913
2,0.6539837398373983,0.6501654772194727,0.5296322561690173,0.6405990016638935,0.34913793103448276,0.6507177033492823,0.8888888888888888,0.6435772357723577,0.6478044309138984,0.4845587536761741,0.7470881863560732,0.521551724137931,0.5239234449760766,0.7829457364341085,0.6413008130081301,0.6478267410166778,0.24206003094082187,0.7687188019966722,0.6206896551724138,0.5287081339712919,0.6227390180878553,0.6413008130081301,0.6478267410166778,0.24206003094082187,0.7687188019966722,0.6206896551724138,0.5287081339712919,0.6227390180878553
3,0.6643902439024391,0.6594129756828133,0.40738227398107474,0.6226415094339622,0.37850467289719625,0.6942675159235668,0.8575129533678757,0.6695934959349593,0.6720571223118199,0.4246795238678521,0.7415914684167351,0.5186915887850467,0.5883757961783439,0.7901554404145078,0.6426016260162601,0.6492701189042349,0.17978211496807023,0.7670221493027072,0.6355140186915887,0.5398089171974523,0.5880829015544041,0.6426016260162601,0.6492701189042349,0.17978211496807023,0.7670221493027072,0.6355140186915887,0.5398089171974523,0.5880829015544041
4,0.6653658536585366,0.6625010517619881,0.5775454648886891,0.6721717588769612,0.336322869955157,0.6477635782747604,0.8894601542416453,0.6504065040650406,0.6551705894201668,0.3988501947620116,0.7572254335260116,0.5560538116591929,0.5375399361022364,0.7352185089974294,0.6539837398373983,0.6583462731929455,0.25205217571525423,0.7481420313790256,0.5874439461883408,0.5718849840255591,0.6632390745501285,0.6539837398373983,0.6583462731929455,0.25205217571525423,0.7481420313790256,0.5874439461883408,0.5718849840255591,0.6632390745501285
5,0.6647154471544715,0.6617160068100703,0.3894619452121819,0.6512396694214876,0.4349775784753363,0.665341812400636,0.8385416666666666,0.6656910569105691,0.6672039272651856,0.4824868526086347,0.7289256198347107,0.47533632286995514,0.5914149443561209,0.8203125,0.640650406504065,0.6475319020172665,0.15445361179636133,0.7652892561983471,0.6591928251121076,0.5349761526232114,0.5833333333333334,0.640650406504065,0.6475319020172665,0.15445361179636133,0.7652892561983471,0.6591928251121076,0.5349761526232114,0.5833333333333334
6,0.6595121951219513,0.6538058485615721,0.26719473439872843,0.5930232558139535,0.4434782608695652,0.7091795288383428,0.8268292682926829,0.6517073170731708,0.6537943747944284,0.6364877462135659,0.7416943521594684,0.3869565217391304,0.5523964256701869,0.8341463414634146,0.6302439024390244,0.6246242341260431,0.24845952843125743,0.563953488372093,0.4217391304347826,0.6815597075548334,0.7878048780487805,0.6302439024390244,0.6246242341260431,0.24845952843125743,0.563953488372093,0.4217391304347826,0.6815597075548334,0.7878048780487805
7,0.6559349593495934,0.6540716774345449,0.6577707893164717,0.6828266228430567,0.3101851851851852,0.6184519155590305,0.9035812672176309,0.6640650406504065,0.6655925704615326,0.411865653158866,0.7173377156943304,0.5231481481481481,0.5949960906958561,0.8126721763085399,0.6413008130081301,0.6479632687997294,0.1518872003694343,0.7633525061626951,0.6481481481481481,0.5418295543393276,0.5785123966942148,0.6413008130081301,0.6479632687997294,0.1518872003694343,0.7633525061626951,0.6481481481481481,0.5418295543393276,0.5785123966942148
8,0.6491056910569105,0.6449793344705111,0.46660887011214025,0.6286186931348222,0.3422222222222222,0.661251015434606,0.8414634146341463,0.6608130081300813,0.6599946710725932,0.40438497672848156,0.6840363937138131,0.4533333333333333,0.628757108042242,0.802439024390244,0.640650406504065,0.640268078194998,0.1405746794886134,0.6509511993382961,0.5466666666666666,0.6368805848903331,0.6731707317073171,0.640650406504065,0.640268078194998,0.1405746794886134,0.6509511993382961,0.5466666666666666,0.6368805848903331,0.6731707317073171
9,0.6595121951219513,0.6553339033891404,0.5193689500869403,0.6386138613861386,0.34841628959276016,0.6661454261141517,0.8953168044077136,0.6686178861788618,0.6708327206366719,0.5487308691232542,0.7458745874587459,0.47058823529411764,0.5777951524628616,0.8512396694214877,0.6455284552845528,0.6521439141584353,0.2028477797132435,0.768976897689769,0.6425339366515838,0.5379202501954652,0.6143250688705234,0.6455284552845528,0.6521439141584353,0.2028477797132435,0.768976897689769,0.6425339366515838,0.5379202501954652,0.6143250688705234
